ID,ward.name,upazilla.code,corporation,municip.code,area,households,hhs.dens,pop.total,pop.dens,DHS.mean,USD.mean,urban,rural,water
N_01,Ward No-01,302695,DCC North,1,3694458.514,39922,0.010805914,183298,0.049614307,1.603346245,327.9287864,0.994720695,0.005279305,0
N_02,Ward No-02,302664,DCC North,2,2348613.183,37388,0.015919182,151868,0.064662841,1.400109024,333.3152863,0.910213947,0,0.089786053
N_03,Ward No-03,302664,DCC North,2,1051122.381,28275,0.026899817,135550,0.128957391,1.565410244,284.1978257,1,0,0
N_04,Ward No-04,302630,DCC North,2,1006330.871,23058,0.022912941,125050,0.124263305,1.501803609,276.0926639,0.873101647,0,0.126898353
N_05,Ward No-05,302664,DCC North,2,1598632.365,28346,0.017731406,118110,0.073881902,1.456609246,260.3964864,0.954323073,0,0.045676927
N_06,Ward No-06,302670,DCC North,2,3543814.581,38690,0.010917614,163770,0.046212914,1.235506472,273.6929269,0.567327431,0.171828668,0.260843901
N_07,Ward No-07,302670,DCC North,2,2052736.32,70625,0.034405296,298965,0.145642184,1.475611256,302.9732583,0.995034775,0.004965225,0
N_08,Ward No-08,302674,DCC North,2,4628361.753,80145,0.017316062,285755,0.061739988,1.06337914,276.8933798,0.503996734,0.317754672,0.178248594
N_09,Ward No-09,302611,DCC North,4,2231344.659,22635,0.010144107,75000,0.033612019,1.42544673,271.3623358,0.867620147,0,0.132379853
N_10,Ward No-10,302611,DCC North,4,1873185.152,30000,0.016015502,110000,0.058723506,1.56427892,275.0903645,0.866480665,0,0.133519335
N_11,Ward No-11,302611,DCC North,4,1333949.443,22905,0.017170816,97033,0.072741138,1.231245055,268.810659,1,0,0
N_12,Ward No-12,302611,DCC North,4,877862.2825,27286,0.031082324,116586,0.132806708,1.316079916,249.8274758,1,0,0
N_13,Ward No-13,302680,DCC North,4,2690982.503,52818,0.019627775,223190,0.082939967,1.437737021,285.0663661,0.999913209,8.68E-05,0
N_14,Ward No-14,302648,DCC North,4,1896583.566,38571,0.020337095,163797,0.086364241,1.418318208,265.5768752,1,0,0
N_15,Ward No-15,302621,DCC North,2,2966059.535,50687,0.017089003,212956,0.071797615,1.52217442,273.9044718,0.977350397,0,0.022649603
