ID,zone
N_01,1
N_02,2
N_03,2
N_04,2
N_05,2
N_06,2
N_07,2
N_08,2
N_09,4
N_10,4
N_11,4
N_12,4
N_13,4
N_14,4
N_15,2
N_16,4
N_17,1
N_18,3
N_19,3
N_20,3
N_21,3
N_22,3
N_23,3
N_24,3
N_25,3
N_26,5
N_27,5
N_28,5
N_29,5
N_30,5
N_31,5
N_32,5
N_33,5
N_34,5
N_35,3
N_36,3
N_37,5
N_38,5
N_39,5
N_40,5
N_41,5
N_42,5
N_43,5
N_44,1
N_45,1
N_46,1
N_47,1
N_48,1
N_49,1
N_50,1
N_51,1
N_52,1
N_53,1
N_54,1
S_01,2
S_02,2
S_03,2
S_04,2
S_05,2
S_06,2
S_07,5
S_08,2
S_09,2
S_10,2
S_11,2
S_12,2
S_13,2
S_14,3
S_15,1
S_16,1
S_17,1
S_18,1
S_19,1
S_20,1
S_21,1
S_22,3
S_23,3
S_24,3
S_25,3
S_26,3
S_27,3
S_28,3
S_29,3
S_30,4
S_31,4
S_32,4
S_33,4
S_34,4
S_35,4
S_36,4
S_37,4
S_38,4
S_39,5
S_40,5
S_41,5
S_42,4
S_43,4
S_44,5
S_45,5
S_46,5
S_47,5
S_48,5
S_49,5
S_50,5
S_51,5
S_52,5
S_53,5
S_54,5
S_55,3
S_56,3
S_57,3
S_58,5
S_59,5
S_60,5
S_61,5
S_62,5
S_63,5
S_64,5
S_65,5
S_66,5
S_67,5
S_68,5
S_69,5
S_70,5
S_71,2
S_72,2
S_73,2
S_74,2
S_75,2
