"G_ID","group","clusters","x","y","link","geometry"
"G1_01",1,1,90.4448132418314,23.8754396827759,"https://www.google.com/maps/search/?api=1&query=23.87543968,90.44481324",c(90.4448132418314, 23.8754396827759)
"G1_02",1,1,90.4556081443602,23.8684211030325,"https://www.google.com/maps/search/?api=1&query=23.86842110,90.45560814",c(90.4556081443602, 23.8684211030325)
"G1_03",1,1,90.4596587851603,23.8553800509425,"https://www.google.com/maps/search/?api=1&query=23.85538005,90.45965878",c(90.4596587851603, 23.8553800509425)
"G1_04",1,1,90.4556674778538,23.8636403867913,"https://www.google.com/maps/search/?api=1&query=23.86364038,90.45566747",c(90.4556674778538, 23.8636403867913)
"G1_05",1,1,90.4433602788394,23.8753300317818,"https://www.google.com/maps/search/?api=1&query=23.87533003,90.44336027",c(90.4433602788394, 23.8753300317818)
"G1_06",1,1,90.4592309067791,23.8697629779594,"https://www.google.com/maps/search/?api=1&query=23.86976297,90.45923090",c(90.4592309067791, 23.8697629779594)
"G1_07",1,1,90.4458692625274,23.8612736047189,"https://www.google.com/maps/search/?api=1&query=23.86127360,90.44586926",c(90.4458692625274, 23.8612736047189)
"G1_08",1,1,90.4487266542168,23.8610509039341,"https://www.google.com/maps/search/?api=1&query=23.86105090,90.44872665",c(90.4487266542168, 23.8610509039341)
"G1_09",1,1,90.4665296350474,23.8609707421027,"https://www.google.com/maps/search/?api=1&query=23.86097074,90.46652963",c(90.4665296350474, 23.8609707421027)
"G1_10",1,1,90.4587349200253,23.8624075506522,"https://www.google.com/maps/search/?api=1&query=23.86240755,90.45873492",c(90.4587349200253, 23.8624075506522)
"G1_11",1,1,90.4574684069214,23.8836775737576,"https://www.google.com/maps/search/?api=1&query=23.88367757,90.45746840",c(90.4574684069214, 23.8836775737576)
"G1_12",1,1,90.4471177265214,23.8657268545795,"https://www.google.com/maps/search/?api=1&query=23.86572685,90.44711772",c(90.4471177265214, 23.8657268545795)
"G1_13",1,1,90.4489014780723,23.874687544431,"https://www.google.com/maps/search/?api=1&query=23.87468754,90.44890147",c(90.4489014780723, 23.874687544431)
"G1_14",1,1,90.451647124327,23.8622110488855,"https://www.google.com/maps/search/?api=1&query=23.86221104,90.45164712",c(90.451647124327, 23.8622110488855)
"G1_15",1,2,90.4310657715069,23.8729474751651,"https://www.google.com/maps/search/?api=1&query=23.87294747,90.43106577",c(90.4310657715069, 23.8729474751651)
"G1_16",1,2,90.4252586767719,23.8787140570932,"https://www.google.com/maps/search/?api=1&query=23.87871405,90.42525867",c(90.4252586767719, 23.8787140570932)
"G1_17",1,2,90.4275804809705,23.8698156344785,"https://www.google.com/maps/search/?api=1&query=23.86981563,90.42758048",c(90.4275804809705, 23.8698156344785)
"G1_18",1,2,90.4238552353405,23.8713821474703,"https://www.google.com/maps/search/?api=1&query=23.87138214,90.42385523",c(90.4238552353405, 23.8713821474703)
"G1_19",1,2,90.4300044330511,23.8725991345216,"https://www.google.com/maps/search/?api=1&query=23.87259913,90.43000443",c(90.4300044330511, 23.8725991345216)
"G1_20",1,2,90.4254679255793,23.878163272469,"https://www.google.com/maps/search/?api=1&query=23.87816327,90.42546792",c(90.4254679255793, 23.878163272469)
