"ID","group","day_cluster","link"
"G14_01",14,1,"https://www.google.com/maps/search/?api=1&query=23.80701778,90.35710862"
"G14_02",14,1,"https://www.google.com/maps/search/?api=1&query=23.81627662,90.35838383"
"G14_03",14,1,"https://www.google.com/maps/search/?api=1&query=23.81821596,90.35739788"
"G14_04",14,1,"https://www.google.com/maps/search/?api=1&query=23.80850024,90.35416477"
"G14_05",14,1,"https://www.google.com/maps/search/?api=1&query=23.81130487,90.35853567"
"G14_06",14,1,"https://www.google.com/maps/search/?api=1&query=23.81062498,90.35672600"
"G14_07",14,1,"https://www.google.com/maps/search/?api=1&query=23.81056598,90.34751321"
"G14_08",14,2,"https://www.google.com/maps/search/?api=1&query=23.80498265,90.38199153"
"G14_09",14,2,"https://www.google.com/maps/search/?api=1&query=23.80278879,90.38285034"
"G14_10",14,2,"https://www.google.com/maps/search/?api=1&query=23.81223677,90.39207904"
"G14_11",14,2,"https://www.google.com/maps/search/?api=1&query=23.82361094,90.38886661"
"G14_12",14,2,"https://www.google.com/maps/search/?api=1&query=23.80336676,90.38091051"
"G14_13",14,2,"https://www.google.com/maps/search/?api=1&query=23.81179277,90.38513007"
"G14_14",14,2,"https://www.google.com/maps/search/?api=1&query=23.81022182,90.39080532"
"G14_15",14,2,"https://www.google.com/maps/search/?api=1&query=23.82122804,90.38925139"
"G14_16",14,2,"https://www.google.com/maps/search/?api=1&query=23.81786814,90.38212341"
"G14_17",14,2,"https://www.google.com/maps/search/?api=1&query=23.80637731,90.38821133"
"G14_18",14,2,"https://www.google.com/maps/search/?api=1&query=23.81278061,90.38349029"
"G14_19",14,2,"https://www.google.com/maps/search/?api=1&query=23.81744424,90.37909552"
"G14_20",14,3,"https://www.google.com/maps/search/?api=1&query=23.82690325,90.37489651"
"G14_21",14,3,"https://www.google.com/maps/search/?api=1&query=23.83276536,90.37378477"
"G14_22",14,3,"https://www.google.com/maps/search/?api=1&query=23.83505537,90.37192294"
"G14_23",14,3,"https://www.google.com/maps/search/?api=1&query=23.82731391,90.37168867"
"G14_24",14,3,"https://www.google.com/maps/search/?api=1&query=23.82908213,90.37345258"
"G14_25",14,3,"https://www.google.com/maps/search/?api=1&query=23.82862989,90.37264193"
"G14_26",14,3,"https://www.google.com/maps/search/?api=1&query=23.83274966,90.37184671"
"G14_27",14,3,"https://www.google.com/maps/search/?api=1&query=23.83195115,90.37690668"
"G14_28",14,4,"https://www.google.com/maps/search/?api=1&query=23.82701944,90.34601051"
"G14_29",14,4,"https://www.google.com/maps/search/?api=1&query=23.82176323,90.35497559"
"G14_30",14,4,"https://www.google.com/maps/search/?api=1&query=23.83111212,90.35483394"
"G14_31",14,4,"https://www.google.com/maps/search/?api=1&query=23.82491578,90.35871098"
"G14_32",14,4,"https://www.google.com/maps/search/?api=1&query=23.82272292,90.35253348"
"G14_33",14,4,"https://www.google.com/maps/search/?api=1&query=23.82220581,90.34869102"
"G14_34",14,4,"https://www.google.com/maps/search/?api=1&query=23.82702547,90.34723511"
"G14_35",14,4,"https://www.google.com/maps/search/?api=1&query=23.83073209,90.35554891"
"G14_36",14,4,"https://www.google.com/maps/search/?api=1&query=23.82182476,90.34441362"
"G14_37",14,4,"https://www.google.com/maps/search/?api=1&query=23.82351732,90.35615089"
"G14_38",14,5,"https://www.google.com/maps/search/?api=1&query=23.82689818,90.36753560"
"G14_39",14,5,"https://www.google.com/maps/search/?api=1&query=23.84106141,90.36561576"
"G14_40",14,5,"https://www.google.com/maps/search/?api=1&query=23.82595973,90.36381641"
"G14_41",14,5,"https://www.google.com/maps/search/?api=1&query=23.83863676,90.36623708"
"G14_42",14,5,"https://www.google.com/maps/search/?api=1&query=23.83080186,90.36221387"
"G14_43",14,5,"https://www.google.com/maps/search/?api=1&query=23.83047041,90.36418646"
"G14_44",14,5,"https://www.google.com/maps/search/?api=1&query=23.83361133,90.36302770"
"G14_45",14,5,"https://www.google.com/maps/search/?api=1&query=23.83413453,90.36322989"
"G14_46",14,5,"https://www.google.com/maps/search/?api=1&query=23.83471236,90.36286741"
"G14_47",14,5,"https://www.google.com/maps/search/?api=1&query=23.82924966,90.36357755"
"G14_48",14,5,"https://www.google.com/maps/search/?api=1&query=23.83585726,90.36576130"
"G14_49",14,6,"https://www.google.com/maps/search/?api=1&query=23.81267066,90.36278890"
"G14_50",14,6,"https://www.google.com/maps/search/?api=1&query=23.81392188,90.36570016"
"G14_51",14,6,"https://www.google.com/maps/search/?api=1&query=23.81672545,90.36471904"
"G14_52",14,6,"https://www.google.com/maps/search/?api=1&query=23.81618843,90.36094191"
"G14_53",14,6,"https://www.google.com/maps/search/?api=1&query=23.80882687,90.36216399"
"G14_54",14,6,"https://www.google.com/maps/search/?api=1&query=23.81888914,90.36485081"
"G14_55",14,6,"https://www.google.com/maps/search/?api=1&query=23.80590090,90.37324898"
"G14_56",14,6,"https://www.google.com/maps/search/?api=1&query=23.81673334,90.36274942"
"G14_57",14,6,"https://www.google.com/maps/search/?api=1&query=23.81506202,90.36318074"
"G14_58",14,6,"https://www.google.com/maps/search/?api=1&query=23.80625538,90.36627737"
"G14_59",14,6,"https://www.google.com/maps/search/?api=1&query=23.81347368,90.36219763"
"G14_60",14,7,"https://www.google.com/maps/search/?api=1&query=23.81990979,90.36814433"
"G14_61",14,7,"https://www.google.com/maps/search/?api=1&query=23.81720342,90.36693946"
"G14_62",14,7,"https://www.google.com/maps/search/?api=1&query=23.81276288,90.37465777"
"G14_63",14,7,"https://www.google.com/maps/search/?api=1&query=23.81646379,90.36725148"
"G14_64",14,7,"https://www.google.com/maps/search/?api=1&query=23.80559060,90.37438895"
"G14_65",14,7,"https://www.google.com/maps/search/?api=1&query=23.81653657,90.37298312"
"G14_66",14,7,"https://www.google.com/maps/search/?api=1&query=23.82093949,90.37064068"
